Record_ID,Student_ID,Survey_Date,Age,Gender,Grade_Level,School_Type,Subject,Study_Hours_Per_Day,Sleep_Hours_Per_Night,Screen_Time_Hours,Attendance_Percentage,Homework_Completion_Percentage,Study_Method,Tutoring,Internet_Access,Stress_Level,Parent_Support_Level,Previous_Exam_Score,Exam_Score,Final_Result,Teacher_Comment
R3350,S0699,2026-04-05,15.0,Male,Grade 10,Public,History,3.2,8.7,4.1,96.0,66.0,Self Study,No,Yes,Medium,Medium,88.0,99.0,Excellent,Excellent focus
R3256,S0562,2026-03-09,13.0,Female,Grade 8,Public,Science,2.3,7.2,5.5,100.0,46.0,Self Study,No,Yes,Low,High,88.0,91.0,Excellent,Excellent focus
R3826,S0422,2026-04-12,17.0,Male,Grade 12,Private,Math,4.9,7.4,1.4,83.0,59.0,Group Study,No,Yes,Medium,Low,97.0,100.0,Excellent,No Comment
R0718,S0673,2026-03-05,17.0,Male,Grade 12,Public,Science,2.9,6.7,5.9,74.0,72.0,Private Tutor,No,Yes,High,Medium,94.0,92.0,Excellent,Good analytical thinking
R3162,S0740,2026-04-22,16.0,Female,Grade 11,Public,English,2.5,8.7,7.1,77.0,61.0,Group Study,No,Yes,Low,Medium,80.0,71.0,Pass,Often distracted
R0669,S0570,2026-02-24,17.0,Male,Grade 12,Private,Math,4.3,6.4,4.4,86.0,71.0,Self Study,No,No,High,Medium,83.0,88.0,Good,No Comment
R0467,S0617,2026-04-11,16.0,Male,Grade 11,Public,Computer Science,2.2,9.7,0.5,85.0,76.0,Self Study,No,Yes,Low,Low,100.0,100.0,Excellent,Consistent effort
R2685,S0650,2026-04-14,15.0,Male,Grade 10,Private,Science,0.1,4.6,5.6,94.0,53.0,Group Study,Yes,Yes,Low,High,60.0,67.0,Pass,Strong participation
R1528,S0337,2026-04-05,15.0,Female,Grade 10,Public,Science,3.6,5.2,4.2,95.0,82.0,Group Study,No,Yes,Medium,High,91.0,100.0,Excellent,Absent during some activities
R2911,S0145,2026-03-16,17.0,Male,Grade 12,Private,Science,2.7,7.2,7.1,99.0,72.0,Private Tutor,No,Yes,Low,Medium,90.0,85.0,Good,Absent during some activities
R1577,S0739,2026-03-07,15.0,Female,Grade 10,Public,English,2.5,7.7,1.1,78.0,100.0,Self Study,No,No,Low,Medium,98.0,100.0,Excellent,Homework quality varies
R2724,S0261,2026-02-11,15.0,Female,Grade 12,Public,Math,0.8,8.3,6.9,71.0,42.0,Online Videos,No,No,Medium,Medium,61.0,92.0,Pass,No Comment
R2994,S0685,2026-02-26,16.0,Female,Grade 11,Private,Science,2.7,7.3,4.2,75.0,75.0,Online Videos,Yes,No,Low,High,99.0,100.0,Excellent,Needs revision plan
R0613,S0113,2026-03-15,15.0,Female,Grade 9,Public,English,3.6,7.3,3.3,85.0,76.0,Self Study,Yes,Yes,Medium,Medium,91.0,100.0,Excellent,Consistent effort
R2523,S0321,2026-03-16,17.0,Male,Grade 12,Private,English,5.7,7.2,3.1,100.0,61.0,Notebook / Notes,No,No,Medium,High,99.0,100.0,Excellent,No Comment
R0906,S0312,2026-02-03,16.0,Female,Grade 11,Public,English,0.6,7.7,4.9,74.0,100.0,Self Study,Yes,Yes,Medium,Medium,92.0,83.0,Good,Strong participation
R0551,S0257,2026-03-18,14.0,Male,Grade 9,Private,Math,0.9,7.2,5.6,90.0,47.0,Self Study,Yes,Yes,Medium,Medium,90.0,81.0,Good,Consistent effort
R3636,S0705,2026-03-14,13.0,Male,Grade 8,Public,Math,3.6,7.1,5.1,87.0,80.0,Self Study,No,Yes,Medium,High,64.0,76.0,Good,Consistent effort
R0470,S0155,2026-02-15,16.0,Male,Grade 11,Private,Science,5.8,7.5,7.0,78.0,58.0,Self Study,No,Yes,Medium,Low,100.0,95.0,Excellent,No Comment
R3280,S0585,2026-02-10,15.0,Female,Grade 10,Private,Science,1.9,7.4,4.0,82.0,89.0,Notebook / Notes,No,Yes,Low,Low,86.0,97.0,Excellent,Excellent focus
R1515,S0666,2026-03-18,15.0,Female,Grade 10,Public,Computer Science,4.7,7.2,4.9,90.0,44.0,Private Tutor,Yes,Yes,Medium,Medium,100.0,98.0,Excellent,Absent during some activities
R2754,S0614,2026-02-03,14.0,Male,Grade 9,Private,Math,1.7,7.5,3.8,99.0,66.0,Private Tutor,No,Yes,High,High,81.0,69.0,Pass,Needs revision plan
R3885,S0596,2026-02-02,15.0,Female,Grade 10,Public,Math,3.7,7.1,4.0,95.0,69.0,Online Videos,Yes,Yes,Medium,Medium,94.0,94.0,Excellent,Needs better time management
R2312,S0190,2026-04-04,16.0,Male,Grade 11,Public,Science,2.4,7.1,5.6,92.0,61.0,Self Study,No,Yes,Low,Medium,67.0,66.0,Pass,Excellent focus
R1443,S0471,2026-03-30,16.0,Male,Grade 11,International,Math,3.1,6.2,3.1,97.0,54.0,Self Study,No,Yes,Low,Medium,90.0,100.0,Excellent,Excellent focus
R1299,S0470,2026-04-26,14.0,Male,Grade 9,International,English,5.0,9.2,0.9,73.0,71.0,Self Study,No,Yes,Medium,Low,100.0,92.0,Excellent,No Comment
R1204,S0581,2026-03-09,16.0,Female,Grade 11,Public,English,2.1,7.4,4.8,78.0,92.0,Notebook / Notes,No,No,High,High,94.0,88.0,Good,Strong participation
R1046,S0616,2026-03-02,17.0,Female,Grade 12,International,Math,4.1,7.7,5.8,82.0,85.0,Online Videos,No,Yes,Medium,Medium,80.0,100.0,Excellent,Improved this term
R3242,S0654,2026-08-04,17.0,Female,Grade 12,Public,Science,4.7,8.6,4.5,83.0,79.0,Self Study,No,Yes,Medium,High,93.0,97.0,Excellent,No Comment
R3817,S0555,2026-04-25,17.0,Female,Grade 12,Private,History,0.7,5.0,1.3,81.0,69.0,Group Study,No,Yes,Low,Low,84.0,90.0,Excellent,Needs better time management
R1338,S0407,2026-03-19,13.0,Male,Grade 8,Public,Computer Science,3.9,5.7,6.8,87.0,100.0,Group Study,No,Yes,High,Low,88.0,89.0,Good,Absent during some activities
R3072,S0142,2026-04-29,14.0,Female,Grade 9,Private,History,2.4,6.2,3.7,79.0,59.0,Group Study,No,Yes,High,Low,86.0,75.0,Good,No Comment
R3767,S0560,2026-02-11,13.0,Male,Grade 8,Public,Computer Science,3.9,7.3,2.2,83.0,79.0,Self Study,No,Yes,Medium,Low,66.0,85.0,Good,No Comment
R0670,S0668,2026-02-07,17.0,Female,Grade 12,Public,Science,2.2,7.2,4.9,90.0,98.0,Notebook / Notes,No,Yes,Low,High,100.0,100.0,Excellent,Homework quality varies
R1152,S0090,2026-02-20,15.0,Female,Grade 10,Private,English,2.1,7.8,5.0,97.0,76.0,Online Videos,Yes,Yes,Low,Medium,97.0,100.0,Excellent,Homework quality varies
R0174,S0561,2026-02-18,13.0,Female,Grade 8,Private,History,3.4,7.6,4.6,97.0,78.0,Online Videos,Yes,Yes,High,Low,92.0,100.0,Excellent,Excellent focus
R2007,S0594,2026-02-20,16.0,Female,Grade 11,Private,Math,3.2,7.7,3.5,83.0,100.0,Online Videos,No,No,Medium,High,91.0,100.0,Excellent,Strong participation
R3498,S0018,2026-02-18,16.0,Female,Grade 11,Private,History,5.1,5.6,6.8,90.0,98.0,Notebook / Notes,No,Yes,High,High,94.0,89.0,Good,No Comment
R3071,S0496,2026-04-01,15.0,Female,Grade 10,Private,English,2.2,8.9,7.9,88.0,65.0,Online Videos,No,Yes,Low,High,71.0,72.0,Pass,Excellent focus
R1080,S0373,2026-04-21,13.0,Male,Grade 10,International,Science,3.2,8.2,3.5,78.0,95.0,Online Videos,No,Yes,Medium,High,64.0,74.0,Pass,Improved this term
R0031,S0480,2026-04-06,13.0,Female,Grade 11,Public,Math,3.4,6.4,4.2,70.0,75.0,Notebook / Notes,Yes,Yes,High,Medium,70.0,89.0,Good,Needs revision plan
R2794,S0575,2026-04-24,17.0,Male,Grade 12,Public,English,1.8,7.2,6.8,79.0,91.0,Notebook / Notes,Yes,Yes,Low,Medium,94.0,92.0,Excellent,No Comment
R3712,S0397,2026-04-01,13.0,Male,Grade 8,Public,English,2.7,5.3,3.9,88.0,62.0,Group Study,No,Yes,High,Medium,76.0,80.0,Good,Needs better time management
R3638,S0254,2026-04-29,14.0,Female,Grade 9,Public,Computer Science,5.2,6.1,3.1,81.0,75.0,Self Study,No,Yes,High,High,100.0,100.0,Excellent,Consistent effort
R3364,S0145,2026-04-09,14.0,Female,Grade 11,Public,English,4.4,7.2,3.2,82.0,53.0,Self Study,No,Yes,Medium,Medium,100.0,96.0,Excellent,Improved this term
R1944,S0316,2026-04-11,14.0,Male,Grade 9,Public,History,4.1,5.1,4.2,87.0,98.0,Online Videos,Yes,Yes,High,High,100.0,100.0,Excellent,No Comment
R2786,S0234,2026-02-14,15.0,Female,Grade 8,Private,Computer Science,3.0,9.1,4.2,80.0,68.0,Group Study,Yes,Yes,Medium,Medium,100.0,100.0,Excellent,Homework quality varies
R0908,S0459,2026-04-27,15.0,Male,Grade 10,International,Science,3.8,7.3,2.2,82.0,75.0,Self Study,Yes,Yes,Low,Medium,78.0,87.0,Good,Consistent effort
R3657,S0664,2026-02-02,13.0,Male,Grade 8,International,History,5.1,6.0,3.6,81.0,76.0,Online Videos,No,Yes,Medium,Medium,100.0,100.0,Excellent,Improved this term
R1839,S0067,2026-03-09,15.0,Male,Grade 9,Public,Computer Science,4.2,7.7,6.1,86.0,87.0,Private Tutor,No,Yes,Medium,Medium,76.0,87.0,Good,Strong participation
R0340,S0316,2026-04-30,17.0,Male,Grade 12,Public,Computer Science,2.8,8.2,0.7,98.0,84.0,Group Study,No,Yes,Low,High,100.0,100.0,Excellent,Needs revision plan
R2438,S0499,2026-04-08,15.0,Female,Grade 10,Private,Math,4.7,7.2,4.9,87.0,90.0,Private Tutor,No,Yes,Low,High,100.0,100.0,Excellent,Consistent effort
R1514,S0464,2026-02-26,14.0,Male,Grade 9,Public,English,1.3,5.7,5.7,88.0,100.0,Self Study,No,Yes,Medium,Medium,84.0,85.0,Good,No Comment
R0170,S0089,2026-03-06,15.0,Female,Grade 10,International,Science,2.1,8.4,3.4,86.0,56.0,Self Study,No,Yes,Low,High,86.0,95.0,Excellent,Needs better time management
R3728,S0151,2026-04-09,15.0,Male,Grade 10,International,Science,4.9,8.3,4.3,100.0,68.0,Group Study,No,Yes,Medium,Low,85.0,92.0,Excellent,No Comment
R0117,S0265,2026-03-14,17.0,Female,Grade 12,Public,English,3.8,7.7,5.4,91.0,67.0,Group Study,No,Yes,Low,Low,87.0,94.0,Excellent,Consistent effort
R3273,S0748,2026-02-11,17.0,Female,Grade 9,Private,English,2.3,5.3,5.8,87.0,80.0,Private Tutor,No,Yes,Low,High,65.0,80.0,Good,No Comment
R1810,S0144,2026-02-25,13.0,Male,Grade 8,Public,History,3.1,6.2,2.9,89.0,100.0,Online Videos,No,Yes,High,Low,100.0,90.0,Excellent,Homework quality varies
R1060,S0621,2026-03-22,15.0,Male,Grade 10,Private,Math,2.6,6.7,3.6,89.0,77.0,Self Study,No,Yes,Medium,Medium,87.0,87.0,Good,Good analytical thinking
R1504,S0666,2026-03-09,16.0,Female,Grade 11,International,Science,4.2,6.4,6.2,88.0,65.0,Online Videos,Yes,Yes,Medium,Low,85.0,91.0,Excellent,Consistent effort
R3176,S0243,2026-03-11,13.0,Female,Grade 8,Public,Computer Science,4.0,7.9,5.2,90.0,100.0,Group Study,Yes,Yes,High,High,100.0,100.0,Excellent,Needs better time management
R0112,S0708,2026-03-09,17.0,Male,Grade 11,Public,Computer Science,2.4,7.7,5.2,82.0,34.0,Self Study,No,Yes,Medium,High,71.0,88.0,Good,Needs better time management
R0144,S0504,2026-02-15,13.0,Male,Grade 8,Public,Math,2.4,7.4,3.4,89.0,74.0,Private Tutor,No,Yes,Medium,Medium,87.0,94.0,Excellent,Needs better time management
R0100,S0617,2026-02-16,13.0,Female,Grade 8,Private,Math,1.3,6.0,4.2,88.0,80.0,Group Study,No,Yes,Medium,High,90.0,90.0,Excellent,Good analytical thinking
R2115,S0059,2026-04-12,13.0,Male,Grade 9,Public,English,1.8,7.1,1.7,83.0,56.0,Private Tutor,Yes,Yes,Low,Medium,80.0,81.0,Good,No Comment
R2965,S0614,2026-02-06,14.0,Male,Grade 9,Private,Math,3.2,7.0,3.8,90.0,100.0,Private Tutor,No,Yes,Low,Medium,72.0,73.0,Pass,Good analytical thinking
R1983,S0217,2026-02-08,17.0,Female,Grade 12,Public,English,5.4,7.2,1.9,82.0,92.0,Self Study,No,Yes,Low,Medium,91.0,92.0,Excellent,Needs revision plan
R2398,S0501,2026-04-09,16.0,Female,Grade 11,International,Science,2.8,6.3,0.5,83.0,83.0,Self Study,No,Yes,Medium,Medium,90.0,87.0,Good,Strong participation
R0605,S0659,2026-03-10,16.0,Female,Grade 11,International,History,3.4,8.0,4.2,91.0,57.0,Notebook / Notes,No,Yes,Low,High,98.0,100.0,Excellent,Excellent focus
R3686,S0400,2026-02-06,15.0,Female,Grade 10,Public,Math,0.2,5.1,2.8,82.0,77.0,Private Tutor,No,Yes,Medium,High,90.0,92.0,Needs Improvement,No Comment
R3300,S0355,2026-04-21,14.0,Male,Grade 9,Public,Science,3.6,5.4,4.2,87.0,41.0,Notebook / Notes,Yes,Yes,Medium,High,91.0,86.0,Good,Needs revision plan
R2996,S0402,2026-03-30,17.0,Female,Grade 11,Public,History,3.4,7.2,5.7,78.0,92.0,Online Videos,No,Yes,Low,High,94.0,89.0,Good,No Comment
R3060,S0380,2026-02-13,16.0,Male,Grade 11,Public,Computer Science,3.2,5.8,4.2,93.0,65.0,Self Study,Yes,Yes,Medium,High,91.0,99.0,Excellent,No Comment
R0561,S0030,2026-03-18,17.0,Male,Grade 12,Public,Math,2.8,7.8,5.1,78.0,75.0,Self Study,No,Yes,High,Low,94.0,76.0,Good,Needs better time management
R2423,S0387,2026-03-12,16.0,Male,Grade 11,Public,Science,2.4,5.9,2.6,87.0,89.0,Online Videos,No,Yes,High,Low,90.0,67.0,Pass,Absent during some activities
R2153,S0689,2026-02-13,15.0,Female,Grade 10,Public,Science,3.8,5.9,6.2,87.0,80.0,Notebook / Notes,No,Yes,High,High,91.0,92.0,Excellent,Excellent focus
R0437,S0702,2026-04-09,17.0,Male,Grade 12,Private,Math,3.2,6.6,4.2,94.0,93.0,Private Tutor,Yes,No,Medium,Low,72.0,84.0,Good,Absent during some activities
R0395,S0702,2026-03-25,14.0,Female,Grade 9,Private,Science,2.7,8.0,6.3,91.0,57.0,Online Videos,No,Yes,Medium,Medium,73.0,85.0,Good,Often distracted
R1247,S0053,2026-03-24,13.0,Female,Grade 8,Public,History,4.8,6.7,1.8,94.0,65.0,Group Study,Yes,Yes,Low,Medium,94.0,100.0,Excellent,Consistent effort
R2285,S0280,2026-02-16,17.0,Female,Grade 12,Private,Computer Science,2.4,5.8,1.2,85.0,77.0,Notebook / Notes,Yes,Yes,Low,Medium,95.0,92.0,Excellent,Excellent focus
R3860,S0239,2026-02-02,13.0,Male,Grade 8,Public,Computer Science,1.8,7.9,4.2,71.0,68.0,Self Study,No,Yes,Low,Low,92.0,92.0,Excellent,Strong participation
R2617,S0002,2026-02-05,15.0,Female,Grade 10,International,Math,3.2,6.5,3.9,69.0,56.0,Self Study,No,Yes,High,High,90.0,98.0,Excellent,Often distracted
R2978,S0178,2026-03-22,13.0,Female,Grade 12,Public,Math,1.3,7.1,0.5,88.0,31.0,Private Tutor,No,Yes,High,Low,62.0,64.0,Pass,Excellent focus
R2531,S0149,2026-03-25,13.0,Male,Grade 12,International,History,3.2,7.4,4.2,71.0,68.0,Self Study,Yes,Yes,High,Low,87.0,92.0,Good,No Comment
R1705,S0015,2026-04-23,14.0,Female,Grade 9,Private,Science,1.1,8.2,3.7,90.0,76.0,Self Study,Yes,Yes,High,Medium,94.0,95.0,Excellent,Excellent focus
R2253,S0004,2026-02-18,13.0,Male,Grade 8,Private,Math,2.5,6.0,2.9,87.0,86.0,Group Study,No,Yes,Medium,Medium,97.0,100.0,Excellent,Consistent effort
R1787,S0150,2026-04-10,14.0,Female,Grade 9,Public,Science,0.0,7.4,2.1,88.0,78.0,Private Tutor,No,Yes,High,High,90.0,68.0,Pass,Good analytical thinking
R1906,S0223,2026-03-27,14.0,Male,Grade 11,International,Science,3.7,8.0,5.7,93.0,88.0,Private Tutor,Yes,Yes,High,High,100.0,100.0,Excellent,No Comment
R0493,S0119,2026-02-17,15.0,Male,Grade 10,Public,English,2.0,6.8,2.5,84.0,95.0,Self Study,No,Yes,Medium,Medium,100.0,94.0,Excellent,No Comment
R1619,S0283,2026-04-03,16.0,Male,Grade 11,Public,Computer Science,1.0,8.8,4.8,89.0,71.0,Private Tutor,Yes,Yes,Low,High,67.0,88.0,Good,Strong participation
R1315,S0132,2026-03-27,17.0,Male,Grade 12,Private,History,3.3,7.4,1.7,75.0,81.0,Online Videos,Yes,Yes,Medium,Medium,93.0,93.0,Excellent,Good analytical thinking
R2394,S0135,2026-03-15,17.0,Male,Grade 12,Private,History,4.6,5.9,6.0,93.0,100.0,Self Study,No,No,Low,High,100.0,92.0,Excellent,No Comment
R0237,S0704,2026-03-11,14.0,Female,Grade 9,Public,History,4.0,7.3,4.7,82.0,74.0,Self Study,No,Yes,Low,High,97.0,100.0,Excellent,Often distracted
R3701,S0560,2026-03-07,13.0,Male,Grade 8,Public,English,5.8,7.3,2.8,86.0,92.0,Group Study,No,Yes,High,Medium,92.0,100.0,Excellent,Needs better time management
R2688,S0684,2026-03-03,13.0,Male,Grade 10,Public,Math,3.1,9.0,4.1,93.0,90.0,Online Videos,Yes,Yes,Medium,Low,100.0,96.0,Excellent,Needs better time management
R1606,S0047,2026-02-19,13.0,Male,Grade 8,Private,Computer Science,3.8,6.9,2.4,83.0,77.0,Self Study,No,No,Medium,High,96.0,100.0,Excellent,Absent during some activities
R2172,S0521,2026-04-25,15.0,Female,Grade 10,Private,Science,3.3,9.2,3.9,90.0,90.0,Online Videos,No,Yes,Medium,Medium,95.0,100.0,Excellent,Excellent focus
R2004,S0145,2026-03-20,14.0,Female,Grade 11,Private,History,2.5,8.4,3.2,100.0,87.0,Self Study,No,Yes,High,High,100.0,100.0,Excellent,No Comment
R0431,S0133,2026-04-21,13.0,Male,Grade 8,Public,History,2.6,6.3,3.5,76.0,69.0,Self Study,Yes,Yes,Medium,Medium,94.0,91.0,Excellent,Excellent focus
R0804,S0037,2026-02-20,14.0,Male,Grade 9,Public,Math,3.0,7.4,3.4,88.0,97.0,Self Study,No,Yes,Medium,Medium,92.0,97.0,Excellent,Improved this term
R1176,S0411,2026-02-03,13.0,Female,Grade 8,International,History,3.2,7.2,4.2,85.0,84.0,Self Study,Yes,Yes,High,Low,100.0,100.0,Excellent,Absent during some activities
R1180,S0581,2026-03-03,17.0,Female,Grade 12,Public,English,2.3,7.6,4.1,88.0,100.0,Online Videos,No,Yes,Medium,Low,97.0,96.0,Excellent,Homework quality varies
R3892,S0327,2026-03-26,17.0,Male,Grade 12,International,Computer Science,3.2,6.7,6.9,100.0,92.0,Self Study,Yes,No,Low,Medium,100.0,100.0,Excellent,Consistent effort
R0295,S0678,2026-02-21,14.0,Female,Grade 9,International,History,2.8,9.4,4.3,84.0,58.0,Private Tutor,No,Yes,High,High,93.0,86.0,Good,Good analytical thinking
R0967,S0527,2026-04-02,13.0,Female,Grade 8,Public,English,3.1,5.1,5.2,86.0,79.0,Self Study,No,Yes,Medium,High,98.0,94.0,Excellent,Often distracted
R0506,S0557,2026-03-03,16.0,Female,Grade 11,Public,English,2.8,8.7,4.7,82.0,51.0,Private Tutor,No,No,Medium,Medium,100.0,100.0,Excellent,Needs revision plan
R2703,S0013,2026-03-02,14.0,Female,Grade 9,Public,Computer Science,4.7,7.2,3.5,95.0,87.0,Self Study,No,Yes,Low,High,100.0,93.0,Excellent,Often distracted
R3012,S0100,2026-04-11,13.0,Male,Grade 8,Public,English,3.1,7.8,6.1,75.0,95.0,Online Videos,No,Yes,Low,Medium,80.0,81.0,Good,No Comment
R2583,S0499,2026-02-12,14.0,Female,Grade 11,Public,Computer Science,2.4,8.4,4.5,77.0,79.0,Group Study,No,Yes,Low,Low,92.0,92.0,Excellent,No Comment
R3214,S0508,2026-04-28,14.0,Female,Grade 9,Private,Math,4.5,7.6,6.3,97.0,55.0,Private Tutor,Yes,No,High,High,90.0,100.0,Excellent,Good analytical thinking
R1506,S0274,2026-04-19,15.0,Female,Grade 12,Private,English,2.6,7.0,2.5,100.0,39.0,Self Study,No,Yes,High,Low,65.0,83.0,Good,Strong participation
R1218,S0161,2026-04-22,14.0,Female,Grade 9,Public,Science,5.8,7.6,4.7,98.0,94.0,Online Videos,Yes,Yes,Medium,Medium,100.0,100.0,Excellent,Consistent effort
R0394,S0348,2026-03-22,13.0,Female,Grade 9,Private,Science,2.5,6.4,2.3,74.0,76.0,Group Study,Yes,Yes,Low,Medium,92.0,100.0,Excellent,No Comment
R2774,S0060,2026-03-21,15.0,Female,Grade 10,Private,Science,4.6,7.0,2.3,87.0,100.0,Online Videos,Yes,No,Medium,High,100.0,100.0,Excellent,Good analytical thinking
R3558,S0117,2026-02-14,13.0,Male,Grade 8,Private,English,2.0,6.7,7.8,73.0,70.0,Private Tutor,No,Yes,High,Medium,90.0,78.0,Good,Strong participation
R1169,S0390,2026-04-18,14.0,Female,Grade 9,Public,English,4.0,7.7,4.2,86.0,76.0,Self Study,No,Yes,Medium,Low,68.0,74.0,Pass,Homework quality varies
R1239,S0252,2026-03-26,14.0,Female,Grade 8,Private,Science,3.7,5.3,2.9,80.0,72.0,Self Study,No,No,Low,Medium,95.0,89.0,Good,Consistent effort
R1762,S0614,2026-04-08,13.0,Female,Grade 8,International,History,2.5,6.6,3.5,97.0,76.0,Notebook / Notes,Yes,Yes,Low,Low,93.0,95.0,Excellent,Needs revision plan
R3499,S0652,2026-03-05,15.0,Female,Grade 10,Private,Computer Science,5.8,6.9,8.2,88.0,54.0,Private Tutor,No,Yes,Medium,Medium,96.0,94.0,Excellent,Often distracted
R0459,S0592,2026-04-02,15.0,Female,Grade 10,Public,Computer Science,1.3,7.2,4.6,86.0,55.0,Self Study,No,Yes,Low,High,96.0,90.0,Excellent,Good analytical thinking
R3621,S0123,2026-03-01,17.0,Female,Grade 12,Public,Science,3.0,5.9,5.0,88.0,74.0,Private Tutor,No,Yes,Medium,Medium,79.0,79.0,Good,Excellent focus
R1313,S0356,2026-03-22,14.0,Male,Grade 9,Public,English,3.2,7.2,5.2,77.0,83.0,Online Videos,No,Yes,Medium,Medium,99.0,100.0,Excellent,Needs better time management
R2713,S0627,2026-04-14,14.0,Male,Grade 9,Public,Science,2.4,7.9,3.2,92.0,81.0,Self Study,No,Yes,Low,High,83.0,93.0,Excellent,Needs revision plan
R0978,S0490,2026-03-27,16.0,Female,Grade 11,Public,English,1.8,6.9,6.0,85.0,95.0,Self Study,Yes,Yes,Medium,High,100.0,100.0,Excellent,Strong participation
R0040,S0630,2026-03-11,13.0,Male,Grade 8,Public,History,2.5,7.9,2.6,80.0,58.0,Self Study,No,Yes,Medium,High,69.0,81.0,Good,Improved this term
R3708,S0421,2026-03-04,17.0,Male,Grade 12,Private,Science,3.3,7.2,5.1,79.0,58.0,Private Tutor,No,Yes,High,High,67.0,63.0,Pass,Excellent focus
R2037,S0617,2026-03-17,16.0,Female,Grade 11,Public,Computer Science,3.5,6.9,5.4,85.0,98.0,Group Study,No,Yes,Low,Low,100.0,100.0,Excellent,Needs better time management
R1631,S0680,2026-04-15,16.0,Female,Grade 11,Private,Computer Science,2.7,8.1,4.2,89.0,62.0,Online Videos,No,No,Medium,Medium,78.0,81.0,Good,Consistent effort
R1814,S0087,2026-03-02,15.0,Male,Grade 10,International,Science,3.2,6.8,5.3,100.0,44.0,Private Tutor,No,Yes,Medium,High,100.0,100.0,Excellent,Homework quality varies
R1303,S0324,2026-03-29,17.0,Male,Grade 12,Public,English,3.6,7.7,4.1,88.0,34.0,Online Videos,No,Yes,Medium,Low,80.0,83.0,Good,Improved this term
R2342,S0735,2026-02-05,17.0,Male,Grade 12,Public,Computer Science,2.5,9.3,3.3,89.0,75.0,Online Videos,No,Yes,Medium,High,89.0,92.0,Excellent,Excellent focus
R3470,S0724,2026-02-14,15.0,Male,Grade 10,Public,Science,3.8,6.8,6.5,87.0,73.0,Group Study,No,Yes,High,Low,82.0,84.0,Good,Consistent effort
R0627,S0037,2026-03-09,16.0,Male,Grade 8,Private,English,3.0,8.1,1.1,92.0,81.0,Private Tutor,No,No,Medium,High,85.0,100.0,Excellent,No Comment
R1233,S0207,2026-03-30,13.0,Female,Grade 8,Public,Computer Science,4.2,7.7,5.2,82.0,100.0,Private Tutor,No,Yes,Medium,Low,95.0,97.0,Excellent,-
R2374,S0337,2026-04-04,13.0,Male,Grade 8,Private,Math,3.0,7.2,2.5,86.0,67.0,Online Videos,No,Yes,Medium,Medium,90.0,100.0,Excellent,Needs revision plan
R2921,S0538,2026-02-27,13.0,Male,Grade 8,Private,Computer Science,3.2,9.6,3.1,76.0,73.0,Self Study,No,No,Medium,High,98.0,93.0,Excellent,Needs better time management
R3146,S0248,2026-02-03,15.0,Male,Grade 10,Public,Science,4.2,6.7,6.7,94.0,87.0,Notebook / Notes,No,Yes,Medium,Medium,90.0,88.0,Good,Needs revision plan
R2187,S0309,2026-03-14,17.0,Female,Grade 12,Private,English,3.0,6.7,3.6,83.0,72.0,Self Study,Yes,Yes,Medium,Medium,87.0,96.0,Excellent,Often distracted
R2408,S0341,2026-04-26,13.0,Female,Grade 9,Public,Computer Science,4.1,8.9,4.9,86.0,58.0,Online Videos,No,Yes,Medium,Low,84.0,90.0,Excellent,Needs revision plan
R3742,S0579,2026-02-12,17.0,Female,Grade 12,Public,Science,2.7,7.7,4.8,87.0,86.0,Online Videos,No,Yes,Medium,High,77.0,95.0,Excellent,Consistent effort
R0266,S0336,2026-12-02,15.0,Male,Grade 10,International,English,4.1,6.1,2.8,89.0,64.0,Online Videos,No,Yes,Medium,Medium,95.0,100.0,Excellent,Absent during some activities
R0046,S0504,2026-03-26,16.0,Female,Grade 11,Public,History,2.6,7.2,3.6,87.0,74.0,Private Tutor,No,Yes,Medium,High,92.0,89.0,Good,No Comment
R3253,S0042,2026-02-01,16.0,Female,Grade 11,Public,Computer Science,4.3,6.5,4.5,82.0,82.0,Online Videos,No,Yes,High,Medium,88.0,96.0,Excellent,Good analytical thinking
R1910,S0196,2026-02-16,17.0,Male,Grade 12,International,Science,4.3,8.7,5.7,90.0,56.0,Self Study,Yes,Yes,Low,High,99.0,99.0,Excellent,Needs better time management
R0338,S0396,2026-02-01,15.0,Female,Grade 10,International,Math,5.5,8.6,2.7,87.0,100.0,Group Study,No,Yes,High,High,95.0,100.0,Excellent,Good analytical thinking
R1849,S0075,2026-03-12,17.0,Female,Grade 12,Public,Math,4.7,7.2,4.7,93.0,56.0,Notebook / Notes,No,Yes,Medium,High,89.0,100.0,Excellent,Improved this term
R3592,S0099,2026-03-31,13.0,Female,Grade 8,Public,English,4.8,8.1,6.2,84.0,91.0,Private Tutor,No,Yes,High,High,94.0,90.0,Excellent,Absent during some activities
R0278,S0047,2026-03-27,13.0,Female,Grade 10,International,Science,2.6,8.5,3.6,100.0,70.0,Online Videos,Yes,Yes,Medium,Low,99.0,86.0,Good,No Comment
R1125,S0225,2026-03-04,16.0,Male,Grade 11,International,Science,5.0,7.0,0.5,76.0,73.0,Self Study,Yes,Yes,Medium,Medium,97.0,93.0,Excellent,Needs revision plan
R2759,S0590,2026-03-14,14.0,Female,Grade 9,Public,English,1.2,7.9,5.7,77.0,85.0,Notebook / Notes,No,Yes,High,Medium,61.0,71.0,Pass,No Comment
